Lista de precios,,
ARTICULO,DESCRIPCION,PRECIO 1
1518-9.5,"Adaptador hembra insercion plastico 1/2 x 3/8""",10.3448278838758
CM-601,"Adaptador hembra insercion plastico 1/2""",17.2413798064596
1518-1913,"Adaptador hembra insercion plastico 3/4 X 1/2""",21.5517247580745
1503-1319,"Adaptador hembra insercion plastico 3/4 X 1/2""",17.2413798064596
CM-602,"Adaptador hembra insercion plastico 3/4""",21.5517247580745
ADAP-1/4,"Adaptador hexagonal 1/4', 4 piezas en blister",24.1379310344828
RB2035,"Adaptador IBC (tote) 60MM fina, hembra gruesa",258.620697096894
RB2034,"Adaptador IBC (tote) 60MM gruesa, fina hembra",258.620697096894
1212013,"Adaptador inserc. p/toma/agua bce.1/2""(polietileno)",64.6551742742235
1503-38.1,"Adaptador macho insercion plastico 1 1/2""",51.7241394193788
1503-31.8,"Adaptador macho insercion plastico 1 1/4""",44.827587496795
1503-25.4,"Adaptador macho insercion plastico 1""",28.4482766806583
CM-611,"Adaptador macho insercion plastico 1/2 x 3/8""",10.3448278838758
1503-13,"Adaptador macho insercion plastico 1/2""",12.9310348548447
1503-25X13,"Adaptador macho insercion plastico 1X1/2""",21.5517247580745
1503-25X19,"Adaptador macho insercion plastico 1X3/4""",21.5517247580745
1503-50.8,"Adaptador macho insercion plastico 2""",62.9310362935775
1503-1913,"Adaptador macho insercion plastico 3/4 X 1/2""",21.5517247580745
1503-19,"Adaptador macho insercion plastico 3/4""",18.9655177871056
1503-19X13,"Adaptador macho insercion plastico 3/4X1/2""",15.5172418258136
PM1458-I,"Adaptador metalico p/pulidora M14 a 5/8""",64.6551742742235
1532,Adaptador multicontacto planomovible 3 contactos pol. bolsa,21.551724137931
1503,Adaptador multicontacto tipo L3 contactos ,19.8275867774285
1507,Adaptador multicontacto tipobarra 3 contactos aterr. bolsa,12.9310344827586
1505,Adaptador multicontacto tipobarra 3 contactos pol bolsa,12.9310344827586
1506,Adaptador multicontacto tipobisagra 3 contactos pol ,21.5517247580745
1500,Adaptador multicontacto tipoT 3 contactos aterr bolsa,41.379311535503
AB112,"Adaptador p/batea 1 1/2"" (rejilla)",10.3448278838758
541,"adaptador p/disco t/27 5/8""",172.413789443906
AF03,Adaptador p/filtro universal,215.517247580745
19PLOMER023SM,Adaptador p/lavavo conc. (pvc) jgo. h/m. 007,17.2413798064596
BRIESM-14,Adaptador p/maquinas europea tipo bosch/metabo 14MM,86.206899032298
A-5453,Adaptador p/matraca cuadro 3/4' a cuadro 1/2',137.931038451677
A-5255,Adaptador p/matraca de 3/8' a 1/4',43.103449516149
A-5653,Adaptador p/matraca de cuadro 1/2' a cuadro 3/4',125.000003596832
A-5254,Adaptador p/matraca de cuadro 1/2' a cuadro 3/8',71.5517261968074
A-5253,Adaptador p/matraca de cuadro 3/8' a cuadro 1/2',51.7241394193788
14ADAPTA025CH,"Adaptador p/taladro p/acesorio 1/4 y 1/2""",73.2758641774533
ADC-MINI,Adaptador para discos de 4 y 4-1/2',68.9655192258384
ADC-M14,Adaptador para discos tipo 1 rosca milimétrica M14-2.0 mm,116.379313693602
